Countries,Years,GVC,GVA,DVX,ENS,URPOP,IQ
Algeria,1996,1142192,11143322,0.0004505514758,79068.13102,56.774,56.774
Algeria,1997,1117893,11573323,0.0004314622308,77513.16489,57.544,57.544
Algeria,1998,1145839,10893717,0.0004478555303,77682.0523,58.313,58.313
Algeria,1999,1231910,12022620,0.0004045897867,80908.237,59.118,59.118
Algeria,2000,1564972,16117962,0.000312422328,83584.34808,59.919,59.919
Algeria,2001,1479164,15284764,0.0003318069447,81974.53967,60.712,60.712
Algeria,2002,1670900,15547470,0.0003214632257,86476.11835,61.501,61.501
Algeria,2003,1937176,19072126,0.0002696351892,92911.57649,62.284,62.284
Algeria,2004,2496892,25092062,0.0002142303593,92480.06238,63.061,63.061
Algeria,2005,2913482,31801322,0.0001724490944,98171.70791,63.83,63.83
Algeria,2006,3438692,39306482,0.000149365692,103187.4465,64.593,64.593
Algeria,2007,4271932,46200242,0.0001310725967,105792.9493,65.348,65.348
Algeria,2008,5549713,58095243,0.0001087268481,110619.5739,66.097,66.097
Algeria,2009,4218222,38810842,0.0001494324465,114004.5427,66.826,66.826
Algeria,2010,5152318,54202228,0.0001140766137,116363.774,67.54,67.54
Algeria,2011,5873871,60872441,0.0001027144326,122711.3579,68.236,68.236
Algeria,2012,5654136,59666906,0.0001051882819,137269.925,68.915,68.915
Algeria,2013,5690533,57397843,0.0001097263862,141545.8213,69.576,69.576
Algeria,2014,5755506,58175556,0.000107880911,151970.4694,70.221,70.221
Algeria,2015,4841285,53306385,0.0001157239775,161328.157,70.848,70.848
Algeria,2016,5224305,58697115,0.0001013471859,157928.5183,71.459,71.459
Algeria,2017,5356320,58861970,0.0001024069827,161370.1902,72.052,72.052
Algeria,2018,5579287,59810987,0.0001001929771,170433.7396,72.629,72.629
Bahrain,1996,255659.9027,1131064.4,0.00267641644,15775.2566,88.385,88.385
Bahrain,1997,212887.5023,1131258,0.002308592555,16240.2267,88.382,88.382
Bahrain,1998,194670.1031,1027673.6,0.003134816383,17214.85604,88.379,88.379
Bahrain,1999,215113.3027,1172396.5,0.002683687722,17306.87149,88.376,88.376
Bahrain,2000,262686.1021,1556346.1,0.002088474989,17751.95167,88.372,88.372
Bahrain,2001,248186.9022,1461152.9,0.002228680618,18383.49178,88.369,88.369
Bahrain,2002,278523.3021,1550758.3,0.002053910735,19207.61128,88.373,88.373
Bahrain,2003,323040.6018,1817254.6,0.001755509744,19876.34029,88.383,88.383
Bahrain,2004,433286.1014,2322958.1,0.001396673282,19901.00811,88.399,88.399
Bahrain,2005,526392.0012,2872605,0.001154958712,23350.58556,88.422,88.422
Bahrain,2006,614941.9009,3624105.9,0.0009449644923,25429.65838,88.452,88.452
Bahrain,2007,719635.3008,4352173.3,0.0008126512305,25832.48618,88.488,88.488
Bahrain,2008,939980.3007,5487416.3,0.0006552418989,27649.56661,88.53,88.53
Bahrain,2009,660744.7008,4255022.7,0.0007767547725,27636.28431,88.579,88.579
Bahrain,2010,881137.9006,5293144.9,0.0006453456482,28815.96455,88.634,88.634
