GVC,FVA,DVX,ENS,URPOP
6.74E+06,1.14E+06,5.59E+06,79068.13102,56.774
6.90E+06,1.12E+06,5.78E+06,77513.16489,57.544
6.46E+06,1.15E+06,5.31E+06,77682.0523,58.313
7.08E+06,1.23E+06,5.85E+06,80908.237,59.118
9.68E+06,1.56E+06,8.12E+06,83584.34808,59.919
9.23E+06,1.48E+06,7.75E+06,81974.53967,60.712
9.44E+06,1.67E+06,7.77E+06,86476.11835,61.501
1.17E+07,1.94E+06,9.81E+06,92911.57649,62.284
1.60E+07,2.50E+06,1.35E+07,92480.06238,63.061
2.04E+07,2.91E+06,1.74E+07,98171.70791,63.83
2.65E+07,3.44E+06,2.31E+07,103187.4465,64.593
3.22E+07,4.27E+06,2.80E+07,105792.9493,65.348
4.22E+07,5.55E+06,3.67E+07,110619.5739,66.097
2.67E+07,4.22E+06,2.25E+07,114004.5427,66.826
3.87E+07,5.15E+06,3.35E+07,116363.774,67.54
4.39E+07,5.87E+06,3.81E+07,122711.3579,68.236
4.31E+07,5.65E+06,3.74E+07,137269.925,68.915
4.18E+07,5.69E+06,3.61E+07,141545.8213,69.576
4.23E+07,5.76E+06,3.65E+07,151970.4694,70.221
3.77E+07,4.84E+06,3.29E+07,161328.157,70.848
4.01E+07,5.22E+06,3.49E+07,157928.5183,71.459
4.08E+07,5.36E+06,3.55E+07,161370.1902,72.052
4.14E+07,5.58E+06,3.58E+07,170433.7396,72.629
5.98E+05,2.56E+05,3.42E+05,15775.2566,88.385
5.08E+05,2.13E+05,2.95E+05,16240.2267,88.382
5.26E+05,1.95E+05,3.31E+05,17214.85604,88.379
5.84E+05,2.15E+05,3.69E+05,17306.87149,88.376
7.69E+05,2.63E+05,5.06E+05,17751.95167,88.372
7.24E+05,2.48E+05,4.76E+05,18383.49178,88.369
7.72E+05,2.79E+05,4.94E+05,19207.61128,88.373
9.03E+05,3.23E+05,5.80E+05,19876.34029,88.383
1.19E+06,4.33E+05,7.54E+05,19901.00811,88.399
1.48E+06,5.26E+05,9.53E+05,23350.58556,88.422
1.86E+06,6.15E+05,1.24E+06,25429.65838,88.452
2.26E+06,7.20E+05,1.54E+06,25832.48618,88.488
2.91E+06,9.40E+05,1.97E+06,27649.56661,88.53
2.07E+06,6.61E+05,1.41E+06,27636.28431,88.579
2.69E+06,8.81E+05,1.81E+06,28815.96455,88.634
3.12E+06,9.66E+05,2.15E+06,28983.37014,88.695
3.00E+06,9.42E+05,2.06E+06,30197.87366,88.762
3.09E+06,9.53E+05,2.14E+06,32109.89212,88.835
3.21E+06,1.02E+06,2.19E+06,33280.68764,88.915
2.87E+06,8.67E+05,2.00E+06,33454.11461,88.999
2.91E+06,8.61E+05,2.05E+06,33440.28838,89.09
3.06E+06,9.41E+05,2.12E+06,33734.93365,89.186
3.15E+06,9.86E+05,2.16E+06,33998.92419,89.287
1.80E+06,4.73E+05,1.33E+06,106854.2818,42.681
1.75E+06,4.37E+05,1.31E+06,113716.7069,42.658
1.65E+06,4.33E+05,1.22E+06,120065.9544,42.704
1.71E+06,4.37E+05,1.27E+06,129343.0519,42.75
1.97E+06,4.73E+05,1.49E+06,127858.9994,42.797
2.16E+06,5.09E+05,1.65E+06,141147.6664,42.843
2.24E+06,5.39E+05,1.70E+06,144906.9121,42.889
2.61E+06,6.92E+05,1.91E+06,147798.0166,42.935
3.37E+06,9.59E+05,2.41E+06,160363.6779,42.981
3.93E+06,1.13E+06,2.81E+06,178335.2479,43.027
5.09E+06,1.47E+06,3.63E+06,188829.4799,43.073
6.52E+06,1.85E+06,4.67E+06,201900.0225,43.078
8.29E+06,2.22E+06,6.08E+06,201969.5413,43.058
7.03E+06,1.80E+06,5.23E+06,210285.9644,43.039
9.35E+06,2.23E+06,7.12E+06,211694.7649,43.019
1.12E+07,2.62E+06,8.55E+06,219281.9692,43
1.10E+07,2.56E+06,8.44E+06,232890.8977,42.946
1.08E+07,2.61E+06,8.22E+06,228688.6161,42.893
1.12E+07,2.76E+06,8.44E+06,233041.991,42.839
9.79E+06,2.32E+06,7.46E+06,239342.5281,42.785
1.00E+07,2.04E+06,7.98E+06,250050.2798,42.732
1.05E+07,2.21E+06,8.28E+06,268634.216,42.705
1.10E+07,2.42E+06,8.59E+06,269310.0277,42.704
8.05E+06,1.26E+06,6.79E+06,290742.5218,61.087
6.87E+06,9.80E+05,5.89E+06,303734.9692,61.853
7.48E+06,1.02E+06,6.46E+06,303123.7106,62.588
8.25E+06,1.16E+06,7.09E+06,334231.6941,63.318
8.89E+06,1.42E+06,7.47E+06,352581.3414,64.042
9.34E+06,1.45E+06,7.89E+06,366219.6745,64.758
1.15E+07,1.86E+06,9.61E+06,382439.6356,65.468
1.25E+07,2.27E+06,1.02E+07,403670.7827,66.172
1.56E+07,2.77E+06,1.28E+07,432943.7757,66.869
1.91E+07,3.16E+06,1.60E+07,467592.4834,67.558
2.28E+07,3.62E+06,1.92E+07,504707.6047,68.239
2.83E+07,4.29E+06,2.40E+07,537176.9247,68.864
3.22E+07,5.03E+06,2.72E+07,549750.8845,69.458
2.53E+07,3.88E+06,2.14E+07,571344.8303,70.045
3.22E+07,5.13E+06,2.71E+07,574611.5843,70.626
3.96E+07,6.02E+06,3.35E+07,584094.7575,71.2
3.60E+07,5.49E+06,3.05E+07,591184.0921,71.755
4.01E+07,7.75E+06,3.24E+07,611333.8337,72.295
4.18E+07,7.94E+06,3.39E+07,635186.5596,72.83
3.81E+07,7.12E+06,3.10E+07,628844.3999,73.358
4.15E+07,8.16E+06,3.33E+07,641456.8594,73.88
4.46E+07,8.14E+06,3.65E+07,664899.5055,74.394
4.38E+07,9.01E+06,3.48E+07,676559.8421,74.898
7.93E+05,9.85E+04,7.08E+06,100586.7639,68.593
1.22E+06,1.83E+05,7.60E+06,120963.0579,68.405
1.38E+06,1.91E+05,8.55E+06,94038.94039,68.388
2.05E+06,2.81E+05,9.25E+06,74034.60271,68.442
2.52E+06,3.01E+05,1.09E+07,88535.29798,68.496
2.26E+06,2.68E+05,1.16E+07,100379.1327,68.55
2.27E+06,2.45E+05,1.31E+07,94816.6616,68.604
2.76E+06,3.54E+05,1.58E+07,82724.66087,68.658
3.60E+06,3.68E+05,1.92E+07,90109.47683,68.712
4.53E+06,4.40E+05,2.11E+07,87038.13225,68.766
5.91E+06,4.24E+05,2.55E+07,84657.85533,68.819
7.60E+06,4.27E+05,3.09E+07,78215.54444,68.873
1.02E+07,5.19E+05,3.46E+07,90175.95774,68.927
7.65E+06,3.64E+05,2.80E+07,96324.08535,68.98
9.52E+06,4.65E+05,3.12E+07,111013.2423,69.103
1.12E+07,5.28E+05,3.31E+07,115463.7198,69.268
1.11E+07,5.03E+05,3.30E+07,132707.7246,69.432
1.11E+07,4.97E+05,3.44E+07,142782.4955,69.595
1.14E+07,5.09E+05,3.87E+07,137657.6241,69.758
1.01E+07,4.37E+05,3.53E+07,137045.6368,69.921
1.14E+07,4.04E+05,4.58E+07,147886.5859,70.094
1.13E+07,4.32E+05,3.94E+07,161380.6896,70.278
1.09E+07,4.56E+05,4.01E+07,173965.497,70.473
5.80E+05,4.03E+05,1.77E+05,14126.32943,78.22
5.69E+05,3.78E+05,1.91E+05,14620.2742,78.232
5.53E+05,3.48E+05,2.05E+05,14835.66139,78.245
5.63E+05,3.52E+05,2.11E+05,14863.0635,78.258
6.56E+05,3.84E+05,2.72E+05,16465.27324,78.27
6.14E+05,3.70E+05,2.44E+05,16507.55591,78.283
6.87E+05,4.16E+05,2.71E+05,17206.48701,78.296
7.87E+05,4.99E+05,2.88E+05,17648.72411,78.308
1.05E+06,6.85E+05,3.63E+05,19020.42435,78.321
1.22E+06,8.05E+05,4.16E+05,20316.4893,79.485
1.49E+06,9.62E+05,5.27E+05,20544.9392,80.97
1.82E+06,1.19E+06,6.35E+05,21343.51931,82.371
2.33E+06,1.48E+06,8.47E+05,20493.21489,83.692
1.85E+06,1.16E+06,6.95E+05,21062.91111,84.928
2.47E+06,1.51E+06,9.66E+05,20587.30009,86.088
2.72E+06,1.69E+06,1.03E+06,21013.56336,87.172
2.64E+06,1.65E+06,9.91E+05,24533.39079,88.185
2.78E+06,1.72E+06,1.06E+06,24096.81305,89.125
2.90E+06,1.80E+06,1.09E+06,25837.85525,90
2.53E+06,1.54E+06,9.85E+05,25630.76393,90.256
2.57E+06,1.57E+06,9.95E+05,25232.07722,90.506
2.64E+06,1.61E+06,1.03E+06,26549.61106,90.747
2.73E+06,1.65E+06,1.08E+06,25260.40991,90.979
5.42E+06,4.99E+05,4.92E+06,39429.84604,98.325
4.61E+06,4.31E+05,4.18E+06,41532.51486,98.527
4.45E+06,4.14E+05,4.04E+06,46106.14578,98.705
4.95E+06,4.01E+05,4.55E+06,49687.84133,98.862
6.79E+06,3.95E+05,6.40E+06,54263.41075,99
6.20E+06,4.47E+05,5.75E+06,57296.09261,99.908
6.20E+06,4.44E+05,5.76E+06,59894.26447,100
8.50E+06,6.20E+05,7.88E+06,62948.18775,100
1.19E+07,8.39E+05,1.10E+07,66982.63247,100
1.60E+07,9.86E+05,1.50E+07,75152.31781,100
2.16E+07,1.23E+06,2.03E+07,77785.86302,100
2.57E+07,1.57E+06,2.42E+07,76034.80923,100
3.46E+07,1.94E+06,3.27E+07,81439.38695,100
2.23E+07,1.49E+06,2.08E+07,83278.0894,100
2.84E+07,1.89E+06,2.65E+07,86249.7734,100
3.95E+07,2.40E+06,3.71E+07,89588.45072,100
3.89E+07,2.30E+06,3.66E+07,90451.20956,100
3.85E+07,2.22E+06,3.63E+07,92859.55677,100
3.91E+07,2.28E+06,3.68E+07,90964.93498,100
3.53E+07,1.90E+06,3.34E+07,94378.21907,100
3.60E+07,1.94E+06,3.41E+07,96917.99722,100
3.58E+07,1.83E+06,3.40E+07,95909.48662,100
3.76E+07,1.89E+06,3.57E+07,97720.70103,100
3.58E+05,2.61E+05,9.70E+04,15081.33799,85.142
4.21E+05,2.83E+05,1.38E+05,16559.79388,85.459
4.19E+05,2.65E+05,1.54E+05,16443.56796,85.77
4.22E+05,2.58E+05,1.64E+05,16944.57577,85.885
4.76E+05,2.79E+05,1.96E+05,15306.49768,86
4.95E+05,3.02E+05,1.94E+05,16516.43589,86.118
5.30E+05,3.14E+05,2.16E+05,16463.84683,86.24
6.24E+05,3.98E+05,2.26E+05,16468.65506,86.366
8.59E+05,5.78E+05,2.81E+05,16688.31576,86.494
9.83E+05,6.66E+05,3.17E+05,16573.83642,86.627
1.16E+06,8.10E+05,3.54E+05,16128.73576,86.762
1.41E+06,9.80E+05,4.34E+05,14926.02796,86.901
1.85E+06,1.31E+06,5.45E+05,18273.37804,87.042
1.58E+06,1.12E+06,4.67E+05,21557.68585,87.187
2.07E+06,1.47E+06,6.04E+05,20657.21159,87.334
2.26E+06,1.66E+06,6.02E+05,20980.20131,87.484
2.21E+06,1.63E+06,5.76E+05,23434.90377,87.636
2.21E+06,1.62E+06,5.88E+05,23102.57289,87.79
2.29E+06,1.70E+06,5.98E+05,24967.45017,87.947
1.98E+06,1.44E+06,5.35E+05,26906.28969,88.106
2.10E+06,1.57E+06,5.35E+05,27866.68453,88.266
2.18E+06,1.63E+06,5.55E+05,29296.54128,88.429
2.28E+06,1.70E+06,5.83E+05,27495.30404,88.593
2.26E+06,5.75E+05,1.69E+06,28911.27739,52.022
2.28E+06,5.70E+05,1.71E+06,30452.57795,52.35
3.00E+06,6.37E+05,2.36E+06,31208.95382,52.678
3.20E+06,6.77E+05,2.52E+06,32854.82656,53.007
3.43E+06,7.29E+05,2.70E+06,33553.82192,53.335
3.60E+06,7.60E+05,2.84E+06,36981.33781,53.662
3.83E+06,8.28E+05,3.01E+06,38261.34054,53.99
4.56E+06,1.00E+06,3.56E+06,38089.19456,54.317
5.61E+06,1.28E+06,4.33E+06,41908.0394,54.644
6.36E+06,1.48E+06,4.88E+06,44495.40447,55.174
7.79E+06,1.81E+06,5.98E+06,45625.4237,55.746
9.14E+06,2.24E+06,6.90E+06,46262.93769,56.317
1.07E+07,2.77E+06,7.98E+06,49080.03625,56.886
7.96E+06,1.96E+06,6.00E+06,48941.25989,57.452
1.09E+07,2.72E+06,8.14E+06,52027.071,58.018
1.23E+07,3.94E+06,8.34E+06,56264.78301,58.581
1.22E+07,3.88E+06,8.27E+06,58535.56843,59.142
1.23E+07,3.86E+06,8.49E+06,58478.52949,59.7
1.25E+07,4.02E+06,8.52E+06,59451.14361,60.256
1.11E+07,3.38E+06,7.72E+06,61082.84384,60.809
1.15E+07,3.55E+06,7.99E+06,60994.86776,61.36
1.21E+07,3.76E+06,8.32E+06,63846.54903,61.908
1.27E+07,3.91E+06,8.78E+06,65182.68049,62.453
1.35E+06,4.83E+05,8.69E+05,19804.99522,71.649
1.08E+06,4.18E+05,6.59E+05,20425.39182,71.629
1.20E+06,4.01E+05,8.01E+05,19863.48529,71.609
1.36E+06,4.30E+05,9.34E+05,22370.75404,71.589
2.01E+06,5.54E+05,1.46E+06,25264.11971,71.569
1.91E+06,5.54E+05,1.35E+06,28375.85766,71.549
1.95E+06,5.74E+05,1.37E+06,30352.50274,71.529
2.21E+06,5.73E+05,1.64E+06,32091.11917,71.509
2.93E+06,7.81E+05,2.15E+06,31690.12709,71.827
3.74E+06,9.09E+05,2.83E+06,32943.44853,72.4
4.70E+06,1.17E+06,3.53E+06,42077.90321,72.967
5.77E+06,1.53E+06,4.24E+06,45484.26526,73.527
8.10E+06,1.92E+06,6.18E+06,44648.40621,74.08
5.35E+06,1.35E+06,4.00E+06,47018.62197,74.624
7.86E+06,2.06E+06,5.79E+06,51402.43371,75.161
1.05E+07,2.95E+06,7.53E+06,59648.05038,76.183
1.02E+07,2.86E+06,7.30E+06,67339.81923,77.564
1.15E+07,3.75E+06,7.77E+06,70533.02828,78.882
1.19E+07,3.87E+06,8.04E+06,74928.53896,80.145
1.05E+07,3.30E+06,7.22E+06,79220.9293,81.35
1.03E+07,2.96E+06,7.39E+06,81628.51643,82.5
1.03E+07,2.98E+06,7.33E+06,82273.20939,83.56
1.07E+07,3.07E+06,7.62E+06,85246.02482,84.539
1.51E+06,3.19E+05,1.19E+06,22795.46058,95.356
1.21E+06,3.06E+05,9.07E+05,27914.18259,95.659
1.61E+06,3.33E+05,1.28E+06,30059.76212,95.888
1.71E+06,3.15E+05,1.40E+06,32550.65158,96.105
2.40E+06,3.36E+05,2.07E+06,31771.64096,96.311
2.26E+06,3.67E+05,1.89E+06,32449.72176,96.506
2.49E+06,3.91E+05,2.10E+06,36221.21255,96.692
2.94E+06,4.25E+05,2.52E+06,38289.50639,96.868
4.02E+06,5.05E+05,3.51E+06,41192.27898,97.09
4.93E+06,6.14E+05,4.32E+06,43582.7131,97.396
6.04E+06,7.15E+05,5.32E+06,49011.10989,97.671
7.70E+06,8.41E+05,6.86E+06,55206.31878,97.917
1.05E+07,9.45E+05,9.59E+06,59776.86797,98.139
7.38E+06,7.48E+05,6.63E+06,61240.89429,98.336
1.00E+07,9.42E+05,9.08E+06,69272.1205,98.501
1.35E+07,1.21E+06,1.23E+07,78250.90945,98.602
1.32E+07,1.19E+06,1.20E+07,81909.03441,98.697
1.44E+07,1.22E+06,1.32E+07,88873.04269,98.785
1.52E+07,1.25E+06,1.39E+07,95299.51588,98.868
1.39E+07,1.04E+06,1.28E+07,98882.94906,98.945
1.42E+07,1.08E+06,1.31E+07,100470.2886,99.015
1.45E+07,1.12E+06,1.34E+07,101532.3049,99.078
1.51E+07,1.14E+06,1.39E+07,101164.3401,99.135
1.89E+07,5.62E+06,1.32E+07,230134.4139,78.91
1.66E+07,5.13E+06,1.15E+07,232836.4633,79.147
1.80E+07,4.96E+06,1.30E+07,249107.2531,79.383
1.84E+07,4.92E+06,1.34E+07,253954.6919,79.616
1.98E+07,5.50E+06,1.43E+07,264849.858,79.848
2.04E+07,5.31E+06,1.51E+07,275412.9949,80.077
2.00E+07,5.36E+06,1.46E+07,293380.2353,80.304
2.07E+07,5.32E+06,1.53E+07,307921.3614,80.53
2.59E+07,6.55E+06,1.93E+07,326588.802,80.754
2.98E+07,7.45E+06,2.23E+07,345932.2969,80.979
3.42E+07,8.77E+06,2.55E+07,366298.5452,81.204
4.10E+07,1.09E+07,3.01E+07,387453.1439,81.427
5.16E+07,1.30E+07,3.86E+07,420046.6928,81.649
3.96E+07,1.14E+07,2.81E+07,443622.7137,81.867
4.92E+07,1.39E+07,3.53E+07,486479.6803,82.084
5.85E+07,1.58E+07,4.26E+07,508763.0319,82.302
5.49E+07,1.39E+07,4.10E+07,538867.3573,82.52
5.87E+07,1.45E+07,4.42E+07,546732.4551,82.74
6.13E+07,1.50E+07,4.63E+07,585459.5755,82.96
5.54E+07,1.32E+07,4.22E+07,610954.6153,83.18
5.73E+07,1.39E+07,4.35E+07,608997.8774,83.401
5.73E+07,1.38E+07,4.35E+07,602841.9179,83.622
5.89E+07,1.42E+07,4.47E+07,579540.9601,83.844
1.15E+06,2.03E+05,9.44E+05,43465.51371,50.473
1.23E+06,1.98E+05,1.03E+06,43273.10076,50.841
1.29E+06,1.94E+05,1.09E+06,45952.94572,51.21
1.29E+06,1.96E+05,1.10E+06,45145.88632,51.578
1.41E+06,1.95E+05,1.22E+06,45842.76198,51.947
1.42E+06,1.81E+05,1.23E+06,45950.96836,52.314
1.54E+06,1.98E+05,1.35E+06,45760.64345,52.682
1.84E+06,2.47E+05,1.59E+06,45916.64294,53.049
2.29E+06,3.20E+05,1.97E+06,47983.07241,53.417
2.63E+06,3.60E+05,2.27E+06,58764.1599,53.782
3.34E+06,4.22E+05,2.91E+06,61526.12733,54.146
3.75E+06,4.80E+05,3.27E+06,64982.21319,54.511
4.62E+06,5.61E+05,4.06E+06,66638.55761,54.875
3.91E+06,4.69E+05,3.44E+06,62368.61327,55.237
4.75E+06,6.43E+05,4.10E+06,62647.85532,55.6
5.80E+06,1.02E+06,4.78E+06,58626.19557,54.58
5.99E+06,1.09E+06,4.90E+06,46110.82717,53.555
6.29E+06,1.18E+06,5.11E+06,31189.64234,52.529
6.14E+06,1.21E+06,4.93E+06,26970.55053,51.5
5.19E+06,1.03E+06,4.16E+06,25616.52929,52.168
5.18E+06,1.08E+06,4.10E+06,24654.60282,52.835
5.34E+06,1.08E+06,4.26E+06,26527.47492,53.5
5.50E+06,1.09E+06,4.41E+06,28921.8357,54.162
1.72E+06,9.65E+05,7.59E+05,17822.30302,61.87
1.74E+06,9.47E+05,7.97E+05,18365.51377,62.262
1.86E+06,9.82E+05,8.75E+05,19172.70536,62.653
1.98E+06,9.97E+05,9.86E+05,20156.23782,63.043
2.21E+06,1.02E+06,1.18E+06,21123.01772,63.432
2.28E+06,1.07E+06,1.22E+06,22004.91249,63.818
2.40E+06,1.13E+06,1.26E+06,21769.9133,64.202
2.77E+06,1.33E+06,1.44E+06,21558.25051,64.585
3.44E+06,1.64E+06,1.80E+06,22807.91782,64.95
3.67E+06,1.74E+06,1.92E+06,23439.69724,65.237
4.81E+06,2.17E+06,2.64E+06,24230.8154,65.524
5.82E+06,2.69E+06,3.13E+06,24973.26227,65.809
6.85E+06,3.22E+06,3.62E+06,25418.41826,66.093
5.54E+06,2.59E+06,2.95E+06,25356.65207,66.376
